distance_km,traffic_index,driver_exp_months,delay
773,0,84,1
299,9,108,1
765,9,190,1
572,9,93,1
264,9,75,1
747,3,145,1
571,8,103,1
138,10,217,1
103,10,227,1
557,5,56,1
723,0,170,0
143,2,36,0
154,3,213,0
256,3,237,0
170,5,122,0
464,2,183,0
219,9,147,1
474,0,44,0
665,3,159,1
584,5,192,1
381,3,184,0
731,8,209,1
664,8,37,1
659,9,112,1
160,5,109,0
655,9,186,1
641,10,113,1
217,5,160,0
25,5,27,0
363,9,233,1
741,10,176,1
217,1,144,0
317,1,194,0
689,2,1,1
301,0,122,0
61,7,18,0
427,5,43,1
319,9,87,1
338,8,14,1
495,8,215,1
480,7,98,1
648,4,38,1
437,6,156,1
758,10,75,1
483,2,156,0
144,7,162,1
199,5,145,1
140,0,45,0
555,0,158,0
486,9,178,1
508,2,22,0
352,0,0,0
142,0,204,0
314,5,111,1
466,8,105,1
350,9,207,1
335,2,213,0
484,7,186,1
207,0,27,0
668,5,114,1
720,3,70,1
194,9,238,1
529,0,106,0
179,0,114,0
375,3,178,0
69,4,181,0
54,7,208,1
115,1,140,0
768,7,167,1
27,7,135,0
326,4,186,0
641,5,67,1
464,6,104,1
423,0,62,0
352,8,12,1
527,2,25,0
572,0,39,0
450,7,34,1
30,10,146,1
251,3,9,0
696,8,56,1
504,7,89,1
448,6,37,1
753,2,231,1
290,9,134,1
144,1,177,0
120,9,153,1
464,7,80,1
719,3,80,1
564,8,130,1
490,3,112,0
599,5,5,1
484,5,116,1
99,7,234,1
244,9,28,1
33,0,127,0
619,4,103,1
333,5,92,1
535,2,6,1
102,6,63,0
736,5,54,1
270,4,141,0
317,9,149,1
662,10,164,1
99,4,105,1
586,2,123,1
426,5,119,1
510,4,163,0
392,9,95,1
16,3,206,0
636,10,14,1
509,10,129,1
485,4,162,0
374,3,123,1
574,9,174,1
88,5,42,0
476,4,111,1
419,9,149,1
731,8,163,1
374,6,174,1
183,2,67,0
251,0,83,0
767,6,183,1
531,4,71,1
272,8,150,1
263,1,236,0
390,6,97,1
568,8,39,1
738,1,92,1
653,9,85,1
318,5,69,1
118,10,220,1
740,3,26,1
799,2,99,1
293,0,182,0
374,4,215,0
240,5,188,0
785,7,233,1
467,3,80,1
221,7,154,1
94,9,198,1
793,4,202,1
376,5,166,0
321,0,223,0
386,0,22,0
267,0,131,0
391,8,184,1
100,3,189,0
360,9,144,1
178,10,92,1
130,3,106,0
93,3,190,0
778,1,50,1
592,1,136,0
789,6,57,1
679,3,10,0
268,0,195,0
554,0,209,0
215,5,44,1
488,9,84,1
738,10,87,1
519,4,209,0
737,1,186,0
199,3,75,0
760,3,33,1
155,9,44,1
721,4,103,1
480,0,53,0
482,8,98,1
31,4,108,0
773,10,217,1
146,2,155,0
769,7,180,1
428,2,147,0
443,2,177,0
107,0,10,0
347,0,50,0
234,3,164,0
379,5,9,0
395,3,13,0
349,4,70,0
387,10,106,1
230,7,176,1
97,7,25,1
514,6,68,1
293,0,165,0
516,7,176,1
663,8,67,1
715,1,168,1
52,2,186,0
682,9,220,1
535,5,163,1
373,0,108,0
76,10,100,1
162,6,12,1
468,6,162,1
319,10,50,1
296,0,218,0
149,9,198,1
120,10,78,1
413,0,216,1
415,0,77,0
225,0,99,0
376,6,180,1
784,2,51,1
713,3,9,1
190,4,141,0
685,2,113,1
643,10,64,1
48,4,77,0
712,10,138,1
573,5,178,1
614,7,178,1
619,8,129,1
116,10,42,1
636,3,68,1
780,2,85,1
382,4,180,1
555,0,92,0
567,1,103,0
205,2,202,0
147,6,205,1
141,8,69,1
524,10,124,1
655,0,223,0
587,7,56,1
149,7,5,1
503,4,41,1
541,4,184,1
306,9,19,1
