distance_km,traffic_index,driver_exp_months,delay
571,8,103,1
290,9,100,1
18,9,134,1
317,4,90,1
595,0,192,1
99,4,105,1
177,4,146,0
421,4,230,1
656,1,43,1
94,9,198,1
352,8,12,1
301,0,122,0
225,0,99,0
466,9,116,1
334,5,152,1
634,1,162,0
470,0,45,1
143,2,36,0
373,6,39,1
717,7,52,1
611,8,169,1
256,9,107,1
691,5,112,1
54,8,129,1
724,2,11,1
658,7,91,1
550,1,5,0
530,5,160,1
264,9,75,1
144,3,70,0
425,8,177,1
199,6,59,1
309,8,186,1
331,0,152,0
107,10,221,1
404,2,51,0
395,3,13,0
316,4,174,0
147,6,205,1
183,2,67,0
333,5,92,1
497,8,188,1
516,10,154,1
200,4,82,0
101,8,151,1
710,6,116,1
713,3,9,1
725,7,209,1
251,5,125,0
531,9,85,1
199,3,75,0
329,8,151,1
788,5,160,1
563,10,93,1
48,4,77,0
314,5,111,1
274,4,4,0
115,1,140,0
414,1,61,0
674,3,126,1
176,8,133,1
371,3,9,0
664,8,37,1
469,3,156,0
93,2,59,0
481,2,31,1
298,8,124,1
447,7,238,1
232,3,126,0
465,3,119,1
730,7,233,1
61,7,18,0
405,10,233,1
178,6,174,1
510,4,163,0
471,2,78,0
103,10,227,1
96,2,173,0
498,9,35,1
190,4,141,0
241,4,162,0
389,6,147,1
659,1,29,1
778,1,50,1
579,0,13,1
488,10,238,1
107,0,10,0
336,8,201,1
400,0,226,0
550,0,128,1
378,5,101,0
24,5,213,0
249,6,77,1
436,8,18,1
463,2,15,0
268,0,195,0
357,4,193,1
76,10,100,1
199,8,198,1
84,6,215,0
733,2,54,0
423,0,62,0
476,4,111,1
102,6,63,0
652,10,99,1
337,9,162,1
12,7,239,1
724,10,122,1
655,9,186,1
138,10,150,1
442,8,152,1
414,9,153,1
324,3,77,0
244,9,28,1
103,0,102,0
234,0,162,0
765,9,190,1
190,7,153,1
403,2,59,0
78,10,49,1
171,5,192,0
742,3,237,1
751,7,68,1
204,0,91,0
215,5,34,0
546,8,35,1
503,0,2,0
25,5,27,0
318,5,69,1
274,4,39,1
747,3,145,1
68,2,98,0
485,4,162,0
72,9,91,1
442,8,110,1
32,10,64,1
382,4,180,1
72,7,40,1
124,4,176,0
16,3,206,0
641,10,113,1
56,0,31,0
280,5,144,0
112,3,154,0
326,3,210,0
306,10,195,1
463,8,139,1
705,3,67,1
419,9,149,1
279,9,183,1
289,5,53,1
476,3,99,1
88,8,215,1
387,10,170,1
698,6,152,1
278,10,36,1
36,0,164,0
620,3,139,0
330,1,152,1
509,10,129,1
695,5,111,1
343,2,95,0
291,1,33,0
378,9,122,1
264,2,194,0
345,5,62,1
437,6,156,1
597,10,139,1
330,3,12,0
795,9,108,1
515,8,221,1
217,5,160,0
428,8,201,1
70,10,150,1
179,0,114,0
671,3,97,1
294,9,223,1
14,10,61,1
196,5,229,1
219,9,147,1
374,3,123,1
762,10,210,1
725,6,173,1
117,10,58,1
436,7,161,1
52,5,220,0
253,2,132,0
756,8,111,1
679,3,10,0
161,1,23,0
280,6,48,1
614,5,184,1
450,0,174,0
269,9,37,1
564,8,130,1
720,3,70,1
553,7,207,1
496,0,205,0
99,7,234,1
370,0,223,0
268,2,122,0
586,2,123,1
215,8,104,1
468,6,162,1
636,9,87,1
581,2,190,0
379,9,151,1
737,1,186,0
344,7,2,1
52,3,124,0
141,8,69,1
306,10,36,1
579,9,14,1
758,5,108,1
606,1,79,0
795,1,211,1
429,4,4,1
13,2,20,0
138,10,217,1
279,0,201,0
109,7,142,1
215,5,44,1
668,9,25,1
230,7,176,1
326,4,186,0
688,3,116,1
345,5,65,1
619,4,103,1
736,5,54,1
133,2,61,0
61,10,29,1
164,1,122,0
346,10,28,1
567,0,91,1
503,8,4,1
696,8,56,1
469,9,76,1
717,8,188,1
264,5,230,1
622,10,194,1
665,5,18,1
721,4,103,1
58,9,36,1
389,9,190,1
180,8,235,1
241,6,13,1
443,0,30,0
710,4,194,0
360,4,95,0
459,9,38,1
646,10,156,1
90,3,75,0
256,3,237,0
655,0,223,0
331,8,98,1
347,0,141,0
263,10,166,1
387,10,106,1
759,4,3,1
398,6,195,1
250,5,33,1
597,2,77,1
530,10,180,1
583,10,126,1
608,10,78,1
216,7,211,1
207,0,27,0
504,9,17,1
196,2,141,0
754,0,139,0
101,1,57,0
375,3,178,0
335,2,213,0
554,0,209,0
413,0,216,1
82,1,141,0
705,10,172,1
448,4,66,0
365,1,53,1
325,6,139,1
789,6,57,1
337,6,115,1
91,4,27,0
269,0,42,0
169,0,91,0
668,7,139,1
677,2,152,0
605,6,126,1
465,6,205,1
488,0,215,0
537,6,148,1
541,4,184,1
423,1,129,0
319,5,211,0
391,10,233,1
643,8,170,1
235,6,124,1
112,7,116,1
156,0,164,0
553,8,79,1
639,9,188,1
410,2,53,0
519,4,209,0
502,2,55,0
381,3,184,0
376,5,166,0
690,7,174,1
677,5,96,1
743,2,76,1
447,10,74,1
162,0,77,0
723,0,170,0
739,2,39,1
170,5,122,0
752,1,85,1
510,9,126,1
494,7,117,1
270,9,228,1
298,6,166,1
610,2,84,0
467,9,40,1
69,4,181,0
366,6,1,1
405,0,167,0
31,4,108,0
270,4,141,0
296,10,90,1
130,3,106,0
154,3,213,0
765,10,68,1
715,1,168,1
679,9,97,1
267,0,131,0
544,3,155,1
599,5,5,1
499,7,154,1
599,10,122,1
514,10,145,1
143,8,89,1
77,2,143,0
526,2,112,1
763,3,72,1
270,5,194,0
170,10,137,1
672,5,39,1
748,10,180,1
386,0,22,0
669,8,22,1
454,0,195,0
188,1,12,0
769,6,120,1
173,5,40,0
260,3,239,0
296,2,187,0
639,6,128,1
280,4,18,1
116,3,100,0
626,5,47,1
97,7,25,1
377,2,65,0
278,10,65,1
673,9,15,1
751,10,147,1
548,5,223,1
763,5,161,1
150,9,155,1
632,4,145,1
711,10,214,1
549,1,150,0
449,6,182,1
549,3,31,1
241,3,4,0
392,9,95,1
392,4,234,0
146,9,218,1
163,0,65,0
596,8,106,1
228,0,90,0
82,7,2,1
317,9,238,1
299,9,108,1
155,9,44,1
769,6,4,1
439,7,40,1
18,6,71,1
114,9,193,1
33,3,231,0
712,10,138,1
192,10,38,1
741,10,176,1
50,6,191,0
415,0,77,0
695,0,148,0
490,3,112,0
251,3,9,0
374,6,174,1
514,6,68,1
125,6,193,1
116,10,42,1
615,2,53,1
200,9,49,1
152,2,234,0
183,8,129,1
450,7,34,1
696,10,183,1
229,7,158,1
320,4,152,1
535,5,163,1
663,5,223,1
269,5,72,1
773,1,129,1
340,5,103,1
388,3,9,1
713,8,147,1
619,3,221,0
513,4,143,1
149,9,198,1
488,9,84,1
202,2,196,0
135,6,85,0
524,10,124,1
180,10,11,1
666,5,205,1
272,8,150,1
88,5,42,0
787,0,36,1
64,9,123,1
633,3,197,1
624,6,80,1
247,3,217,0
745,1,103,1
630,4,193,1
491,4,16,1
623,6,29,1
597,1,97,1
379,5,20,1
755,6,37,1
529,0,106,0
624,2,122,0
495,3,28,0
769,7,180,1
568,8,39,1
674,3,113,1
722,5,132,1
620,3,51,1
242,3,75,0
528,3,86,1
144,7,159,1
264,9,191,1
480,7,98,1
34,3,38,0
495,8,215,1
785,7,233,1
87,10,89,1
132,6,11,1
604,4,231,1
443,8,200,1
555,0,158,0
415,9,54,1
269,8,51,1
667,2,175,1
173,6,226,1
775,4,146,1
90,5,231,0
614,1,68,1
356,5,0,1
47,9,209,1
511,3,37,0
431,6,218,1
657,8,108,1
644,2,53,1
464,6,104,1
168,6,31,1
720,8,94,1
58,6,109,0
306,9,19,1
220,10,146,1
226,6,140,0
474,0,44,0
456,10,235,1
488,3,193,0
314,2,196,0
643,10,64,1
722,3,82,1
140,4,193,0
159,0,96,0
438,6,131,1
277,9,51,1
19,4,56,0
95,4,48,0
149,0,76,0
406,0,44,0
353,0,93,0
551,5,85,1
265,1,213,0
576,6,203,1
428,6,36,1
526,7,205,1
194,9,238,1
646,5,167,1
751,8,162,1
247,10,190,1
68,0,98,0
605,3,176,1
322,6,142,1
727,0,197,1
150,5,138,1
234,3,164,0
142,9,183,1
511,3,123,1
793,4,202,1
740,3,26,1
737,8,238,1
532,3,104,0
38,5,213,0
43,4,49,0
722,4,24,1
344,0,185,0
389,6,14,1
535,2,6,1
577,6,238,1
667,10,198,1
573,5,178,1
90,7,107,1
750,9,134,1
190,4,31,0
99,7,124,1
572,9,93,1
208,9,178,1
205,10,137,1
689,2,1,1
466,8,105,1
597,2,59,1
784,3,57,1
210,3,70,0
739,6,53,1
363,9,233,1
160,5,109,0
224,2,18,0
619,8,129,1
525,1,223,0
549,4,115,1
240,5,188,0
790,1,181,0
757,3,213,1
778,0,150,1
731,8,163,1
724,10,39,1
793,6,101,1
718,5,204,1
770,8,234,1
423,0,239,0
665,3,159,1
50,6,159,1
47,9,165,1
340,10,78,1
663,8,67,1
526,9,169,1
247,7,19,1
293,0,182,0
486,9,178,1
746,2,223,1
151,0,118,0
29,5,29,0
573,0,147,0
669,10,195,1
106,1,85,0
557,5,56,1
685,3,114,1
508,5,118,1
508,7,213,1
780,2,85,1
308,1,24,0
106,10,227,1
427,7,170,1
746,3,193,1
439,10,56,1
472,10,209,1
738,1,92,1
299,2,211,0
490,0,20,0
47,5,26,0
641,5,67,1
482,8,98,1
497,9,19,1
160,2,37,0
448,9,173,1
546,3,237,1
777,0,14,0
395,9,239,1
574,9,174,1
374,8,87,1
685,2,113,1
162,6,12,1
432,4,131,0
347,0,50,0
120,10,78,1
527,2,25,0
750,2,57,1
524,9,112,1
56,3,167,0
500,6,62,1
736,9,42,1
410,3,186,0
162,1,63,0
182,4,219,0
121,4,196,0
295,1,184,0
741,5,59,1
376,6,180,1
73,7,30,1
386,6,149,1
199,8,237,1
478,7,99,1
221,7,154,1
466,8,156,1
544,3,75,1
345,5,159,1
37,6,123,0
374,4,215,0
708,10,108,1
464,7,80,1
470,5,219,1
567,8,114,1
172,1,38,0
216,2,44,0
93,3,190,0
480,0,53,0
107,10,168,1
